field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
HC b_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9556789615726683,-0.7379324719067314,0.0,0.0,-0.7379324719067314,0.22728149428430158
HC b_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681814345283173,-0.7545771812619353,0.0,0.0,-0.7545771812619353,0.42217806585896134
HC b_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924454919307433,-1.2425833376837272,0.0,0.0,-1.2425833376837272,0.15077334372347645
HC b_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838233675055065,-0.6349438352052255,0.0,0.0,-0.6349438352052255,0.19734579118676007
HC b_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516773662938937,-0.5911948028838083,0.0,0.0,-0.5911948028838083,0.1615058863676045
HC b_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6468900638005943,-0.9251400736858242,0.0,0.0,-0.9251400736858242,0.1441222613125644
HC b_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.324356248299547,-1.0158273952072396,0.0,0.0,-1.0158273952072396,0.06149268285956201
HC b_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9016143010064614,0.5885635827832062,0.0,0.0,0.5885635827832062,-0.023027726841579266
HC b_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019055666537866542,-3.3240453300086577,0.0,0.0,-3.3240453300086577,0.004251907570713662
HC b_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
